start	end	pc
51.584671	53.001088	A
53.001088	54.34784499999999	D
53.001088	54.34784499999999	G
53.001088	54.34784499999999	B
54.34784499999999	55.799092	D
54.34784499999999	55.799092	Gb
54.34784499999999	55.799092	A
55.799092	57.2039	D
55.799092	57.2039	Gb
55.799092	57.2039	A
57.2039	58.62031700000001	C
57.2039	58.62031700000001	E
57.2039	58.62031700000001	A
58.62031700000001	60.013514	D
58.62031700000001	60.013514	Gb
58.62031700000001	60.013514	A
60.013514	62.799909	D
60.013514	62.799909	G
60.013514	62.799909	B
62.799909	64.193106	D
62.799909	64.193106	Gb
62.799909	64.193106	B
64.193106	65.586303	E
64.193106	65.586303	Ab
64.193106	65.586303	B
65.586303	68.31867700000001	Db
65.586303	68.31867700000001	E
65.586303	68.31867700000001	A
68.31867700000001	69.789115	D
68.31867700000001	69.789115	Gb
68.31867700000001	69.789115	A
69.789115	71.159092	C
69.789115	71.159092	E
69.789115	71.159092	G
71.159092	72.57551	D
71.159092	72.57551	G
71.159092	72.57551	B
72.57551	73.968707	Db
72.57551	73.968707	E
72.57551	73.968707	A
73.968707	75.385124	D
73.968707	75.385124	Gb
73.968707	75.385124	A
75.385124	76.77832099999999	C
75.385124	76.77832099999999	E
75.385124	76.77832099999999	G
76.77832099999999	78.17151899999999	D
76.77832099999999	78.17151899999999	G
76.77832099999999	78.17151899999999	B
78.17151899999999	79.634376	Db
78.17151899999999	79.634376	E
78.17151899999999	79.634376	A
79.634376	81.074013	D
79.634376	81.074013	Gb
79.634376	81.074013	B
81.074013	82.50204000000001	D
81.074013	82.50204000000001	G
81.074013	82.50204000000001	Bb
82.50204000000001	83.941678	D
82.50204000000001	83.941678	Gb
82.50204000000001	83.941678	B
83.941678	85.416145	D
83.941678	85.416145	G
83.941678	85.416145	Bb
85.416145	86.774512	D
85.416145	86.774512	Gb
85.416145	86.774512	A
86.774512	88.214149	D
86.774512	88.214149	G
86.774512	88.214149	B
88.214149	89.665396	D
88.214149	89.665396	Gb
88.214149	89.665396	A
89.665396	90.222675	C
89.665396	90.222675	F
89.665396	90.222675	A
90.222675	90.652244	C
90.222675	90.652244	F
90.222675	90.652244	A
90.652244	91.023764	D
90.652244	91.023764	G
90.652244	91.023764	B
91.023764	92.393741	D
91.023764	92.393741	Gb
91.023764	92.393741	A
92.393741	93.833378	C
92.393741	93.833378	E
92.393741	93.833378	G
93.833378	95.226575	D
93.833378	95.226575	G
93.833378	95.226575	B
95.226575	96.608163	Db
95.226575	96.608163	E
95.226575	96.608163	A
96.608163	98.08263000000001	D
96.608163	98.08263000000001	Gb
96.608163	98.08263000000001	A
98.08263000000001	99.487437	C
98.08263000000001	99.487437	E
98.08263000000001	99.487437	G
99.487437	100.915464	D
99.487437	100.915464	G
99.487437	100.915464	B
100.915464	102.355102	Db
100.915464	102.355102	E
100.915464	102.355102	A
102.355102	103.864399	D
102.355102	103.864399	Gb
102.355102	103.864399	B
103.864399	105.211156	D
103.864399	105.211156	G
103.864399	105.211156	Bb
105.211156	106.615963	D
105.211156	106.615963	Gb
105.211156	106.615963	B
106.615963	108.04399	D
106.615963	108.04399	G
106.615963	108.04399	Bb
108.04399	109.448798	D
108.04399	109.448798	Gb
108.04399	109.448798	A
109.448798	110.818775	D
109.448798	110.818775	G
109.448798	110.818775	B
110.818775	112.246802	D
110.818775	112.246802	Gb
110.818775	112.246802	A
112.246802	113.64	D
112.246802	113.64	Gb
112.246802	113.64	A
113.64	115.056417	C
113.64	115.056417	E
113.64	115.056417	A
115.056417	116.461224	D
115.056417	116.461224	Gb
115.056417	116.461224	A
116.461224	117.854421	D
116.461224	117.854421	G
116.461224	117.854421	B
117.854421	119.21278899999999	D
117.854421	119.21278899999999	G
117.854421	119.21278899999999	B
119.21278899999999	120.60598600000002	D
119.21278899999999	120.60598600000002	Gb
119.21278899999999	120.60598600000002	B
120.60598600000002	122.022403	E
120.60598600000002	122.022403	Ab
120.60598600000002	122.022403	B
122.022403	123.42721	Db
122.022403	123.42721	E
122.022403	123.42721	A
123.42721	124.785578	Db
123.42721	124.785578	E
123.42721	124.785578	A
124.785578	126.143945	D
124.785578	126.143945	Gb
124.785578	126.143945	A
126.143945	127.56036200000001	C
126.143945	127.56036200000001	E
126.143945	127.56036200000001	G
127.56036200000001	128.98838999999998	D
127.56036200000001	128.98838999999998	G
127.56036200000001	128.98838999999998	B
128.98838999999998	130.42802700000001	Db
128.98838999999998	130.42802700000001	E
128.98838999999998	130.42802700000001	A
130.42802700000001	131.856054	D
130.42802700000001	131.856054	Gb
130.42802700000001	131.856054	A
131.856054	133.28408100000001	C
131.856054	133.28408100000001	E
131.856054	133.28408100000001	G
133.28408100000001	134.66566799999998	D
133.28408100000001	134.66566799999998	G
133.28408100000001	134.66566799999998	B
134.66566799999998	136.058866	Db
134.66566799999998	136.058866	E
134.66566799999998	136.058866	A
136.058866	137.463673	D
136.058866	137.463673	Gb
136.058866	137.463673	B
137.463673	138.91492	D
137.463673	138.91492	G
137.463673	138.91492	Bb
138.91492	140.319727	D
138.91492	140.319727	Gb
138.91492	140.319727	B
140.319727	141.805804	D
140.319727	141.805804	G
140.319727	141.805804	Bb
141.805804	143.222222	D
141.805804	143.222222	Gb
141.805804	143.222222	A
143.222222	144.627029	D
143.222222	144.627029	G
143.222222	144.627029	B
144.627029	146.089886	D
144.627029	146.089886	Gb
144.627029	146.089886	A
146.089886	147.552743	C
146.089886	147.552743	F
146.089886	147.552743	A
147.552743	148.93433100000001	D
147.552743	148.93433100000001	Gb
147.552743	148.93433100000001	A
148.93433100000001	152.521576	D
148.93433100000001	152.521576	Gb
148.93433100000001	152.521576	A
